,CONDITION_CONCEPT_ID,CONDITION_CONCEPT_NAME,FREQ
100,141941,Cervical spondylosis without myelopathy,16724
101,434169,Abnormal findings on diagnostic imaging of breast,16670
102,80502,Osteoporosis,16068
103,40481919,Coronary atherosclerosis,15851
104,315078,Palpitations,15719
105,437390,Hypoxemia,15620
106,436659,Iron deficiency anemia,15528
107,321588,Heart disease,15431
108,201618,Disorder of intestine,15283
109,440383,Depressive disorder,15265
110,4024561,Pain in lower limb,15140
111,4174262,Polyneuropathy,15122
112,434610,Hyperkalemia,15002
113,45768910,Uncomplicated asthma,14907
114,136788,Spinal stenosis of lumbar region,14666
115,4168694,Lung field abnormal,14385
116,439297,Nuclear senile cataract,14346
117,4150125,Persistent pain following procedure,14241
118,257007,Allergic rhinitis,14217
119,200528,Ascites,14087
120,77646,Disorder of bone and articular cartilage,14008
121,79864,Hematuria syndrome,13935
122,140214,Eruption,13770
123,37016349,Hyperglycemia due to type 2 diabetes mellitus,13596
124,437247,Anemia of chronic disease,13579
125,197684,Dysuria,13514
126,44784631,Pain due to neoplastic disease,13446
127,4214376,Hyperglycemia,13403
128,434005,Morbid obesity,13320
129,762297,Pain in right knee,13084
130,434547,Complication of surgical procedure,13008
131,197381,Epigastric pain,12965
132,201620,Kidney stone,12959
133,195562,Hemorrhoids,12897
134,312934,Atherosclerosis of aorta,12866
135,4311499,Primary malignant neoplasm of respiratory tract,12840
136,192450,Retention of urine,12776
137,372448,Loss of consciousness,12697
138,321052,Peripheral vascular disease,12600
139,4245252,Raised prostate specific antigen,12441
140,260139,Acute bronchitis,12425
141,78097,Secondary malignant neoplasm of bone,12214
142,314666,Old myocardial infarction,12100
143,443257,Swelling / lump finding,12076
144,4154290,Paroxysmal atrial fibrillation,12063
145,439392,Primary malignant neoplasm,12061
146,437264,Tobacco dependence syndrome,11808
147,442752,Muscle pain,11799
148,80813,Lumbosacral spondylosis without myelopathy,11794
149,440674,Gout,11781
150,40484102,Abnormal finding on evaluation procedure,11745
151,4329041,Pain,11704
152,4152351,"Abdominal distension, gaseous",11636
153,434004,Hypervolemia,11537
154,261325,Pulmonary emphysema,11326
155,80767,Breast lump,11095
156,435081,Abnormal findings diagnostic imaging heart+coronary circulat,11071
157,43531578,Chronic kidney disease due to type 2 diabetes mellitus,11002
158,81611,Diverticular disease of colon,10989
159,4169095,Bradycardia,10944
160,257012,Chronic sinusitis,10904
161,197988,Generalized abdominal pain,10887
162,437233,Multiple myeloma,10869
163,444101,Hypertensive heart failure,10861
164,443769,Degeneration of lumbar intervertebral disc,10783
165,134898,Non-toxic uninodular goiter,10758
166,192671,Gastrointestinal hemorrhage,10722
167,442019,Complication of procedure,10665
168,762289,Pain in left knee,10618
169,200174,Disorder of skin and/or subcutaneous tissue,10594
170,46271075,Acute hypoxemic respiratory failure,10533
171,439407,Disorder of nasal cavity,10398
172,435788,Disorder of phosphorus metabolism,10324
173,443454,Cerebral infarction,10242
174,443211,Benign prostatic hypertrophy with outflow obstruction,10240
175,196456,Gallstone,10174
176,4079749,Osteoarthritis of hip,10140
177,77030,Disorder of breast,10130
178,4256228,Respiratory failure,10129
179,193782,End-stage renal disease,10121
180,37311319,Hypovolemia,10121
181,4233565,Severe protein-calorie malnutrition,10025
182,135777,Neoplasm of uncertain behavior of skin,10015
183,4188331,Chronic pulmonary edema,9994
184,319843,Mitral valve disorder,9963
185,45766714,Inflammatory dermatosis,9955
186,4168222,"Intra-abdominal and pelvic swelling, mass and lump",9866
187,4059290,Steatosis of liver,9858
188,42537730,Coronary artery graft present,9677
189,4111412,"Tricuspid incompetence, non-rheumatic",9480
190,4244662,Disorder of musculoskeletal system,9478
191,45768812,Anemia in chronic kidney disease,9471
192,4134121,Lumbar radiculopathy,9447
193,377889,Hearing loss,9385
194,44784439,Benign hypertensive renal disease with renal failure,9360
195,192963,Disorder of pancreas,9347
196,37018196,Prediabetes,9323
197,198263,Right upper quadrant pain,9300
198,434814,Late effect of medical and surgical care complication,9284
199,197500,Primary malignant neoplasm of colon,9257
200,381591,Cerebrovascular disease,9186
201,377091,Seizure,9179
202,260123,Acute sinusitis,9172
203,254591,Secondary malignant neoplasm of lung,9172
204,433163,Deficiency of macronutrients,9166
205,318736,Migraine,9159
206,375415,Injury of head,9086
207,317009,Asthma,9067
208,436785,Spinal stenosis in cervical region,9064
209,437246,Vitamin B deficiency,9055
210,4115171,Pain in right lower limb,9036
211,4268911,Disorientated,9013
212,78508,Arthralgia of the ankle and/or foot,8985
213,137989,Abnormal results of cardiovascular function studies,8983
214,197672,Urinary incontinence,8957
215,140821,Spasm,8957
216,256451,Bronchitis,8944
217,80816,Degeneration of intervertebral disc,8913
218,441408,Vomiting,8839
219,141932,Senile hyperkeratosis,8828
220,443238,Diabetic - poor control,8768
221,4182210,Dementia,8664
222,321596,Peripheral venous insufficiency,8653
223,198985,Primary malignant neoplasm of kidney,8645
224,314131,Degeneration of cervical intervertebral disc,8637
225,4117695,Pain in left lower limb,8581
226,132736,Bacteremia,8558
227,433811,Hydronephrosis,8502
228,201072,Benign prostatic hypertrophy without outflow obstruction,8462
229,4322175,Late effect of complications of procedure,8456
230,4256761,Imaging result abnormal,8409
231,378427,Tear film insufficiency,8404
232,25297,Acute pharyngitis,8403
233,4324765,Arthropathy of knee joint,8396
234,40481089,Embolism from thrombosis of vein of lower extremity,8384
235,40479576,Chronic diastolic heart failure,8349
236,136368,Non-toxic multinodular goiter,8300
237,4216771,Impotence,8281
238,44806773,Secondary malignant neoplasm of liver and intrahepatic bile duct,8249
239,79106,Arthralgia of the pelvic region and thigh,8225
240,77234,Benign neoplasm of colon,8223
241,438567,Adult failure to thrive syndrome,8210
242,374034,Visual disturbance,8185
243,4000609,Disorder of upper gastrointestinal tract,8164
244,321319,Cardiomyopathy,8164
245,313459,Sleep apnea,8150
246,441258,Anemia in neoplastic disease,8148
247,439147,Amnesia,8096
248,200843,Finding of frequency of urination,8037
249,40479192,Chronic systolic heart failure,8023
250,201340,Gastritis,7971
251,73840,"Localized, primary osteoarthritis of the shoulder region",7947
252,374375,Impacted cerumen,7943
253,197925,Hemorrhage of rectum and anus,7896
254,4111409,"Aortic incompetence, non-rheumatic",7891
255,4288310,Carotid artery obstruction,7883
256,4180628,Disorder of body system,7848
257,432851,Secondary malignant neoplastic disease,7832
258,79908,Muscle weakness,7805
259,435613,Cellulitis,7741
260,201965,Shock,7714
261,440530,Oropharyngeal dysphagia,7597
262,432795,Traumatic AND/OR non-traumatic injury,7548
263,4153380,Disorder of carotid artery,7522
264,4266809,Diverticular disease,7505
265,314054,Aortic valve disorder,7474
266,432881,Pancytopenia,7474
267,439002,Eating disorder,7419
268,440417,Pulmonary embolism,7378
269,4041283,General finding of observation of patient,7373
270,4166126,"Localized swelling, mass and lump, trunk",7298
271,193518,Intestinal obstruction,7253
272,193322,Right lower quadrant pain,7212
273,443580,Systolic heart failure,7200
274,435511,Hypercalcemia,7180
275,133299,Swelling of limb,7163
276,4155909,Anesthesia of skin,7142
277,134057,Disorder of cardiovascular system,7120
278,436238,Elevated levels of transaminase & lactic acid dehydrogenase,7095
279,373503,Transient cerebral ischemia,7054
280,4166125,"Localized swelling, mass and lump, neck",6985
281,4236484,Paresthesia,6959
282,138825,Actinic keratosis,6909
283,372409,Sciatica,6899
284,40484908,Imaging of brain abnormal,6862
285,316822,Heart murmur,6855
286,197236,Uterine leiomyoma,6852
287,137820,Postoperative hypothyroidism,6851
288,437541,Glaucoma,6776
289,135930,Musculoskeletal finding,6749
290,4147829,Pain in pelvis,6732
291,201337,Disorder of bladder,6727
292,373478,Presbyopia,6724
293,195083,Left lower quadrant pain,6715
294,443612,Chronic kidney disease stage 4,6714
295,4229440,Chronic congestive heart failure,6712
296,4275423,Supraventricular tachycardia,6696
297,4285898,Polyp of colon,6690
298,4187218,Pneumonitis due to inhaled substance,6665
299,4158911,Non-rheumatic heart valve disorder,6640
300,443919,Hypertensive renal failure,6623
301,319041,Orthostatic hypotension,6594
302,197917,Disorder of biliary tract,6583
303,438383,Essential thrombocythemia,6538
304,141253,Disorder of thyroid gland,6519
305,4103703,Melena,6512
306,441829,Hyperosmolality and or hypernatremia,6481
307,4152384,Non-rheumatic aortic sclerosis,6475
308,200527,Splenomegaly,6462
309,434613,Generalized anxiety disorder,6454
310,318096,Secondary malignant neoplasm of lymph node,6443
311,380378,Epilepsy,6373
312,75650,Proteinuria,6371
313,72990,Localized osteoarthrosis uncertain if primary OR secondary,6346
314,193165,Disorder of adrenal gland,6346
315,435224,Leukopenia,6339
316,43530621,Acute postoperative pain,6335
317,255919,Finding of head and neck region,6285
318,42873170,Dependence on supplemental oxygen,6273
319,4141360,Chronic atrial fibrillation,6233
320,4068482,Prolapsed lumbar intervertebral disc,6201
321,376690,Cerebral edema,6193
322,444044,Acute tubular necrosis,6180
323,4206148,Syncope and collapse,6161
324,320420,Vitreous degeneration,6147
325,4059049,Mammography abnormal,6123
326,4128329,Menopause present,6108
327,443601,Chronic kidney disease stage 2,6104
328,439696,Hypertensive heart and renal disease with (congestive) heart failure,6100
329,201613,Chronic nonalcoholic liver disease,6089
330,253796,Pneumothorax,6046
331,319049,Acute respiratory failure,6011
332,4002359,Monoclonal gammopathy,6006
333,141232,Malignant melanoma of skin,5996
334,4232495,Primary cardiomyopathy,5994
335,199754,Primary malignant neoplasm of pancreas,5986
336,434056,Late effects of cerebrovascular disease,5979
337,312998,Pain in thoracic spine,5975
338,4038838,Non-Hodgkin's lymphoma,5912
339,444367,Cholelithiasis without obstruction,5899
340,139750,Primary malignant neoplasm of skin,5894
341,196236,Septic shock,5886
342,74130,Thoracic spondylosis without myelopathy,5861
343,443587,Diastolic heart failure,5855
344,4041285,Urogenital finding,5847
345,438878,Liver function tests abnormal,5846
346,435510,Hypocalcemia,5830
347,442793,Complication due to diabetes mellitus,5811
348,43021974,Complication associated with device,5782
349,4158910,Secondary malignant neoplasm of unknown site,5771
350,319034,Hypertensive heart disease without congestive heart failure,5711
351,4042728,Blood glucose abnormal,5680
352,4165998,Generalized enlarged lymph nodes,5671
353,73553,Arthropathy,5660
354,135618,Pruritic rash,5658
355,40482267,Imaging of gastrointestinal tract abnormal,5651
356,4027396,Peripheral neuritis,5634
357,75004,Frank hematuria,5628
358,43531681,Acute deep vein thrombosis of lower limb,5608
359,314665,Atrial flutter,5602
360,137548,Cervical radiculopathy,5550
361,43530807,Allergic disposition,5534
362,321887,Disorder of artery,5524
363,317248,Disorder of hematopoietic structure,5504
364,432545,Bacterial infectious disease,5502
365,192353,Disorder of gallbladder,5480
366,40481385,Imaging of abdomen abnormal,5456
367,436353,Primary malignant neoplasm of upper outer quadrant of female breast,5446
368,36713112,Pancytopenia due to antineoplastic chemotherapy,5432
369,4090425,Altered sensation of skin,5431
370,40481043,Acute on chronic diastolic heart failure,5413
371,440320,Infection due to Escherichia coli,5364
372,320073,Neutropenia,5360
373,261236,"Primary malignant neoplasm of upper lobe, bronchus or lung",5358
374,73819,Pain of breast,5357
375,133424,Primary malignant neoplasm of thyroid gland,5354
376,4115991,Knee joint effusion,5338
377,196925,Secondary malignant neoplasm of retroperitoneum and peritoneum,5310
378,4115367,Wrist joint pain,5298
379,373995,Delirium,5295
380,4043371,Inflammatory disorder of digestive tract,5276
381,376065,Disorder of nervous system due to type 2 diabetes mellitus,5251
382,196360,Primary malignant neoplasm of bladder,5246
383,31610,Disorder of esophagus,5229
384,314754,Wheezing,5224
385,194081,Acute cystitis,5188
386,379805,Myopia,5172
387,435524,Sleep disorder,5155
388,4064161,Cirrhosis of liver,5151
389,192359,Renal failure syndrome,5147
390,24609,Hypoglycemia,5130
391,314059,Right bundle branch block,5102
392,438725,Disorder of magnesium metabolism,5081
393,4145825,Anorectal disorder,5078
394,201418,"Flatulence, eructation and gas pain",5069
395,40480602,Acute on chronic systolic heart failure,5047
396,40479625,Atherosclerosis of artery,5024
397,441969,Radiology result abnormal,5023
398,36716935,Acquired absence of cervix and uterus,5008
399,75576,Irritable bowel syndrome,4996
400,433753,Alcohol abuse,4996
401,197921,Renal osteodystrophy,4970
402,4288544,Inguinal hernia,4938
403,4092879,Absent kidney,4932
404,4188155,Hernia of anterior abdominal wall,4931
405,375545,Cataract,4929
406,4182562,Lower abdominal pain,4921
407,36713107,Lumbar spondylolisthesis,4916
408,4195677,Rheumatic tricuspid valve regurgitation,4872
409,77630,Disorder of shoulder,4852
410,45770886,Disorder of plasma protein metabolism,4838
411,437312,Bleeding,4825
412,4110815,"Sensorineural hearing loss, bilateral",4818
413,4098458,Moderate protein-calorie malnutrition,4807
414,762294,Pain in right foot,4803
415,4042836,Disorder of head,4796
416,45769461,Non-rheumatic mitral valve disease,4795
417,192680,Portal hypertension,4775
418,80809,Rheumatoid arthritis,4768
419,30753,Esophagitis,4714
420,256449,Bronchiectasis,4705
421,29735,Candidiasis of mouth,4690
422,40326053,Dysphonia,4688
423,440029,Viral disease,4685
424,36712983,Angina co-occurrent and due to coronary arteriosclerosis,4681
425,4320824,Adverse effect of prosthetic device,4674
426,78472,Microscopic hematuria,4670
427,37119138,Iron deficiency anemia due to blood loss,4662
428,40304526,Nocturia,4656
429,372892,Metabolic encephalopathy,4643
430,439154,Abnormal findings on diagnostic imaging of skull and head,4637
431,4308509,Impaired fasting glycemia,4632
432,4242816,Benign neoplasm of pituitary gland,4613
433,259848,Chronic rhinitis,4602
434,200845,Urgent desire to urinate,4579
435,140352,"Acute myeloid leukemia, disease",4570
436,35624756,Anemia due to and following chemotherapy,4566
437,198571,Cardiogenic shock,4535
438,4012690,Thoracic nerve root pain,4532
439,444444,Benign neoplasm of transverse colon,4525
440,4009585,Abnormal urine,4519
441,316993,Tricuspid valve disorder,4518
442,4254485,Finding related to attentiveness,4508
443,195581,Peritoneal adhesion,4501
444,432585,Blood coagulation disorder,4500
445,442111,Benign neoplasm of ascending colon,4499
446,438791,Pulmonary congestion and hypostasis,4493
447,315286,Chronic ischemic heart disease,4459
448,435829,Rheumatic disease of heart valve,4434
449,4089462,Ventricular premature complex,4431
450,76161,Impotence of organic origin,4402
451,44783760,Mammographic calcification of breast,4386
452,26662,Testicular hypofunction,4385
453,4245975,Hepatic failure,4368
454,40321716,Secondary thrombocytopenia,4362
455,376063,Benign neoplasm of cerebral meninges,4332
456,440371,Disorder of immune function,4317
457,4012368,Increased frequency of urination,4283
458,138519,Spondylosis without myelopathy,4275
459,197676,Large liver,4271
460,4175154,Disorder of the peripheral nervous system,4258
461,321318,Angina pectoris,4242
462,378425,Blepharitis,4238
463,443782,Tremor,4234
464,380733,Otalgia,4233
465,4096682,Bleeding from nose,4221
466,197006,Residual hemorrhoidal skin tags,4213
467,195867,Noninflammatory disorder of the vagina,4211
468,197610,Cyst of ovary,4209
469,380094,Carpal tunnel syndrome,4208
470,4280726,Seasonal allergic rhinitis,4191
471,44782690,Chronic kidney disease stage 5 due to hypertension,4190
472,4306267,Coag./bleeding tests abnormal,4167
473,37017432,Polyneuropathy due to type 2 diabetes mellitus,4166
474,42538119,Transplanted heart valve present,4162
475,4197819,Fibrosis of lung,4149
476,314379,First degree atrioventricular block,4149
477,765131,Pain in left foot,4143
478,312349,Venous varices,4124
479,435149,Complication of internal device,4119
480,4150062,Knee pain,4118
481,4108817,"Tricuspid valve disorder, non-rheumatic",4090
482,317302,Sinus node dysfunction,4075
483,75036,"Localized, primary osteoarthritis of the hand",4074
484,137977,Jaundice,4067
485,4172970,Nontraumatic rotator cuff tear,4066
486,4248728,Snoring,4060
487,4245842,Umbilical hernia,4058
488,36714126,Difficulty walking,4050
489,374384,Cerebral ischemia,4032
490,4001171,Liver cell carcinoma,4025
491,40481319,Imaging of musculoskeletal system abnormal,4006
492,36717267,Ectasia of thoracic aorta,4004
493,4168796,Muscle strain,3997
494,441830,Disorder of fluid AND/OR electrolyte,3975
495,73754,Restless legs,3973
496,443412,Type 1 diabetes mellitus without complication,3972
497,317898,Malignant essential hypertension,3970
498,201078,Atrophic vaginitis,3967
499,134159,Precordial pain,3930
500,4108814,Pericardial effusion - noninflammatory,3927
501,435839,Lymphedema,3922
502,315558,Atherosclerosis of arteries of the extremities,3921
503,195834,Atherosclerosis of renal artery,3907
504,197494,Viral hepatitis C,3900
505,80189,Displacement of lumbar intervertebral disc without myelopathy,3894
506,194406,Urinary tract obstruction,3893
507,443392,Malignant neoplastic disease,3892
508,4103295,Ventricular tachycardia,3887
509,198700,Secondary malignant neoplasm of liver,3871
510,4114222,Malignant tumor of head and neck,3860
511,432571,Malignant lymphoma,3858
512,318772,Disorder of pericardium,3817
513,374366,Sensorineural hearing loss,3817
514,253797,Post-inflammatory pulmonary fibrosis,3812
515,78505,"Localized, primary osteoarthritis of the ankle and/or foot",3810
516,4110192,Cerebral infarction due to thrombosis of cerebral arteries,3805
517,136057,Benign neoplasm of skin of trunk,3795
518,196436,Internal hemorrhoids,3795
519,46273463,Upper respiratory tract infection due to Influenza,3790
520,373764,Toxic encephalopathy,3786
521,4330445,Pleuritic pain,3775
522,46270513,Secondary malignant neoplasm of right lung,3761
523,133729,Hyperparathyroidism,3751
524,135526,Spinal cord disease,3736
525,46272242,Intestinal obstruction co-occurrent and due to decreased peristalsis,3730
526,133810,Hyperparathyroidism due to renal insufficiency,3727
527,4234997,Disorder of vein,3706
528,4198042,Disorder of bilirubin metabolism,3705
529,376647,Primary malignant neoplasm of soft tissues,3703
530,4286497,Centriacinar emphysema,3700
531,4171919,"Localized swelling, mass and lump, lower limb",3686
532,72993,"Localized, primary osteoarthritis",3677
533,257004,Acute exacerbation of chronic obstructive airways disease,3665
534,380055,Primary malignant neoplasm of brain,3664
535,4246451,Secondary malignant neoplasm of brain,3661
536,4195085,Nasal congestion,3656
537,42539502,Transplanted kidney present,3648
538,440329,Herpes zoster without complication,3613
539,318169,Varicose veins of lower extremity,3605
540,4115169,Pain in left arm,3602
541,201066,Obstruction of bile duct,3589
542,315296,Preinfarction syndrome,3588
543,762296,Pain in right hand,3582
544,261687,Hemoptysis,3574
545,192279,Disorder of kidney due to diabetes mellitus,3548
546,443731,Renal disorder due to type 2 diabetes mellitus,3547
547,141825,Simple goiter,3545
548,433968,Candidiasis,3542
549,4111416,"Pulmonary incompetence, non-rheumatic",3541
550,140648,Onychomycosis due to dermatophyte,3537
551,4110961,Generalized ischemic myocardial dysfunction,3536
552,372309,Mononeuritis,3533
553,30437,Gastro-esophageal reflux disease with esophagitis,3526
554,440424,Aphasia,3522
555,444459,Benign neoplasm of sigmoid colon,3519
556,198520,Lumbar spondylosis with myelopathy,3508
557,46273652,Secondary malignant neoplasm of left lung,3507
558,4270024,Acute non-ST segment elevation myocardial infarction,3484
559,43021227,Allergic condition,3470
560,198964,Chronic hepatitis C,3467
561,194175,Left upper quadrant pain,3460
562,4322024,Pulmonary hypertension,3447
563,4109420,Open-angle glaucoma - borderline,3443
564,377575,Tinnitus,3432
565,321314,Abdominal aortic aneurysm without rupture,3431
566,40480603,Acute systolic heart failure,3421
567,78786,Pleurisy,3416
568,74582,Primary malignant neoplasm of rectum,3410
569,43530742,Paralytic syndrome on one side of the body as late effect of cerebrovascular accident,3395
570,4232697,Persistent atrial fibrillation,3393
571,378419,Alzheimer's disease,3393
572,374888,Dementia associated with another disease,3363
573,4280354,Nutritional anemia,3354
574,78517,Multiple joint pain,3353
575,381295,Senile cataract,3346
576,197444,Vascular complication of medical care,3345
577,135287,Non-neoplastic nevus,3333
578,40483107,Inflamed seborrheic keratosis,3327
579,37110250,Atherosclerosis of artery of lower limb,3317
580,443611,Chronic kidney disease stage 5,3316
581,4092743,Unsteady when standing,3310
582,136497,Scar conditions and fibrosis of skin,3306
583,261600,Acute pulmonary edema,3302
584,443729,Peripheral circulatory disorder due to type 2 diabetes mellitus,3286
585,4157454,"Primary malignant neoplasm of lower lobe, bronchus or lung",3279
586,137945,Pressure ulcer stage 2,3278
587,4167097,Spondylolisthesis,3273
588,4093347,Stool finding,3270
589,40483794,Degenerative joint disease of pelvis,3268
590,4059015,Falls,3256
591,4003171,Benign neoplasm of meninges,3252
592,440704,Chronic pain syndrome,3242
593,435835,Non-infectious disorder of lymphatics,3239
594,4344500,Impingement syndrome of shoulder region,3238
595,438112,Neoplastic disease,3225
596,4196636,Dysarthria,3224
597,4163710,Dilated cardiomyopathy,3218
598,256439,Allergic rhinitis due to pollen,3214
599,440360,Pure hyperglyceridemia,3213
600,434657,Weakness of face muscles,3205
601,315831,Chronic pulmonary heart disease,3196
602,4115170,Pain in right arm,3195
603,4297894,Trochanteric bursitis,3193
604,4327889,Thromboembolism of vein,3191
605,43530605,Pulmonary embolism with pulmonary infarction,3188
606,381551,Polyneuropathy due to drug,3185
607,316998,Left bundle branch block,3181
608,374313,Neoplasm of uncertain behavior of soft tissues,3175
609,4169954,Genitourinary tract hemorrhage,3172
610,4170145,Absence of lung,3172
611,443730,Disorder of nervous system due to diabetes mellitus,3149
612,78804,Fibrocystic disease of breast,3148
613,4119307,Neurogenic claudication,3139
614,134460,Plantar fascial fibromatosis,3137
615,77079,Spinal stenosis,3132
616,376400,Combined form of senile cataract,3127
617,377550,Compression of brain,3123
618,440276,"Infection AND/OR inflammatory reaction due to internal prosthetic device, implant AND/OR graft",3114
619,4339214,Secondary pulmonary hypertension,3112
620,443732,Disorder due to type 2 diabetes mellitus,3104
621,138994,Myelodysplastic syndrome,3103
622,760895,Lump in left breast,3087
623,4140164,Disorder of sacrococcygeal spine,3084
624,4096196,Mild protein-calorie malnutrition,3083
625,4313365,Neoplasm of uncertain behavior of brain,3083
626,437992,Renal function tests abnormal,3082
627,198194,Female genital organ symptoms,3080
628,317585,Aortic aneurysm,3077
629,194692,Cirrhosis - non-alcoholic,3075
630,438730,Alkalosis,3069
631,4204199,Hand pain,3068
632,78473,Solitary cyst of breast,3067
633,4111566,Disorders of both mitral and tricuspid valves,3065
634,141323,Acute maxillary sinusitis,3060
635,4111921,Squamous cell carcinoma of skin,3058
636,442108,Benign neoplasm of cecum,3057
637,257683,Posterior rhinorrhea,3053
638,437251,Benign neoplasm of pituitary gland and craniopharyngeal duct,3051
639,441051,Thoracic aortic aneurysm without rupture,3042
640,381270,Parkinson's disease,3031
641,4130839,Neoplasm of lymph node,3030
642,439082,Menopausal syndrome,3027
643,4232337,Valvular endocarditis,3026
644,192568,Secondary malignant neoplasm of intra-abdominal lymph nodes,3023
645,45757591,Osteophyte of bone,3019
646,4040820,Rheumatic disease of mitral AND aortic valves,3018
647,4201388,Gastrostomy present,3016
648,44782733,Acute on chronic combined systolic and diastolic heart failure,3016
649,4025938,Pressure ulcer of sacral region,3015
650,436665,Bipolar disorder,2999
651,4108235,"Combined disorders of mitral, aortic and tricuspid valves",2995
652,201265,Disorder of spleen,2992
653,373474,Diplopia,2992
654,436339,Bacterial infection due to Klebsiella pneumoniae,2991
655,4101918,Noninflammatory disorder of the female genital organs,2989
656,4192174,Illness,2986
657,195306,Gastroduodenitis,2978
658,42537742,Transplanted liver present,2968
659,44784621,Hypertensive heart and chronic kidney disease,2966
660,4168212,Restlessness and agitation,2964
661,765053,Lump in right breast,2964
662,4252872,Mitral valve prolapse,2957
663,442104,Benign neoplasm of descending colon,2956
664,4166231,Genetic predisposition,2955
665,438699,Primary malignant neoplasm of rectosigmoid junction,2953
666,81250,Carcinoma in situ of breast,2928
667,40405599,Fibromyalgia,2902
668,40481042,Acute diastolic heart failure,2894
669,438867,Generalized aches and pains,2890
670,4168217,Generalized hyperhidrosis,2883
671,37016114,Acute on chronic hypoxemic respiratory failure,2881
672,199074,Acute pancreatitis,2881
673,4028253,Neoplasm of digestive system,2879
674,4070750,Drug-induced constipation,2877
675,321042,Cardiac arrest,2875
676,435508,Adrenal cortical hypofunction,2868
677,72418,Scoliosis deformity of spine,2867
678,200051,Primary malignant neoplasm of ovary,2860
679,141104,Intervertebral disc disorder of lumbar region with myelopathy,2860
680,444457,Benign neoplasm of rectum,2852
681,4133224,Lobar pneumonia,2841
682,81878,Benign paroxysmal positional vertigo,2839
683,316211,Acquired spondylolisthesis,2836
684,44782747,Acute deep venous thrombosis of femoral vein,2834
685,78474,Hypertrophy of breast,2825
